scrapping_date,one_reviews_text,review_date,review_rating,size,review_title
2022-05-23 10:39:26.768958,"
The good:VR games are fun! Beatport has been a blast, Subnautica has a been a bunch of fun as a VR port, my wife is loving moss.The Bad:All told it took ~5 hours of game play for one of the base stations (the little cubes that read your position in the room) to stop working. It just sits there with a blinking red light. Support tells me this is a hardware problem, and that to get it fixed I'll need to ship it back to them at my expense, wait about a month, then they'll hopefully ship a working unit back to me. I guess we're not doing any room-scale VR this month.At this price point I expected HTC to offer an advance shipment swap. One of those deals where they ship you a new working unit and you return the non-functional one in the same box promptly or they charge your credit card. But that's not something they will offer.Conclusion:I wont buy from HTC again.
","Reviewed in Canada on April 10, 2019",2, Vive Pro Full System,"
Decent product, poor build quality and support
"
2022-05-23 10:39:26.931028,"
I made the mistake of not immediately returning the system when i was having repeated tracking issues way back when i ordered it, and now im basically out the 2000 dollars this system costs because the support team doesn't listen and just has me reset my drivers over and over and over. If you get this headset and have any sort of tracking issues or controllers disconnecting, send it in for repair or refund immediately, before you get stuck with a fancy blue paperweight.
","Reviewed in Canada on February 22, 2019",1, Vive Pro Full System,"
Broken since day one - Support Unhelpful
"
2022-05-23 10:39:26.945166,"
I have ordered the VR headset from Amazon Warehouse Deals and the headset is just dead not working at all. There is a big sticker on the box stating that this is a TESTED DEVICE FROM AMAZON and guest what it's not working. There was also a big sticker on the Headset from the previous owner ( West River School something like that) so that mean that the headset was probaly used by many many people before sent back to Amazon. You should definitely be very cautious when buying Amazon Warehouse Deals because it's cleared that those are customer returns NOT TESTED and CAREFULLY CLEANED.
","Reviewed in Canada on September 2, 2019",1, Vive Pro Full System,"
Worst Purchase ever on Amazon
"
2022-05-23 10:39:26.961746,"
Not Plug n Play for MacOS Mojave. Which had been announced by Apple 2018. HTC also walked away from their opportunity with Apple firmly stated NO MAC/APPLE Support from HTC Online/Call Centre. This was not communicated to Apple Support or Retail employees which was a vicious circle of HW & SW and two manufacturers pointing fingers to one another and driving hopefully  VR Mac users away.For Apple I am going to say I have had it and will be buying a PC and Mid-Advanced level HUD and equipment...Occulu? Perhaps Apple will release their own and put these barely 1.5/2gen VR solutions to shame.One thing I think Apple & HTC also smeared the YouTube/Googles algorithms because barely any other HTC VR / Apple / Steam users comments exist post Fall 2018 search results...Definitely not a good hobby for early adopters...
","Reviewed in Canada on June 23, 2019",1, Vive Pro Full System,"
HTC and Apple have a PR problems? Are MacOS VR developers alive?
"
2022-05-23 10:39:26.975718,"
Read through the negative reviews, don't agree at all. Graphics are stunning, God rays haven't come across any but I don't go around looking for a white board. Came from quest 2 and now I'm spoiled with picture quality.
","Reviewed in Canada on September 1, 2021",5, Pro 2 Headset Only,"
Awesome headset
"
2022-05-23 10:39:26.991637,"
After 3 weeks of a few hours after work every few days one of the base stations errored out and I have had to send in for a replacement under warranty.Great headset though. Good detail definition. Decent controllers. Everything was in the package and worked well after the first setup.
","Reviewed in Canada on February 28, 2019",5, Vive Pro Full System,"
On time, great product, one base station failed after 3 weeks
"
2022-05-23 10:39:27.006630,"
Superbe résolution! Je suis vraiment agréablement surpris malgré son prix je ne regrette en rien son achat car ce casque c'est de la bombe 👌🏽😉Edit: finalement je commence à regretter mon achat.. pour moins cher j'aurais eu un kit valve index et je m'aurais épargner de l'argent et des problèmes.. le système audio à 2 pilotes du vive est terrible et cause des problèmes sur une base quotidienne je dois reverifier les pilotes, débrancher et rebrancher le casque ou redémarré la link box et en prime une de mes base station qui lâche en à peine 8 mois, ça fait plus d'un mois que j'ai envoyé en réparation et toujours aucune nouvelle.. j'ai bien peur de pas la revoir.. ( remarque les base station appartiennent à valve mais bon )
","Reviewed in Canada on August 4, 2019",3, Vive Pro Full System,"
Bien mais..
"
2022-05-23 10:39:27.021962,"
I'm passionate about VR and have been since i first played Dactyl Nightmare in the 90s.  I enjoyed the Vive a ton and the upgrade to the Vive pro is a huge step in terms of visuals.  Everything is clearer, the screen door effect is nearly gone and the headset is much more comfortable.  The built in headphones are great and seem better than those on the premium strap upgrade but are still basic.In the box for my unit was an annual Viveport Subscription which gives you access to 5 games a month for 12 months (worth $144 CAD) & a Viveport credit of $125 CAD to purchase games.If you already have a Vive and enjoy it a lot, this is a great upgrade.  If you don't, the price tag just doesn't make sense.
","Reviewed in Canada on April 26, 2018",4, Vive Pro Headset Only,"
I enjoyed the Vive a ton and the upgrade to the ...
"
2022-05-23 10:39:27.041921,"
I bought the bundle HTC Vive Pro and found it easy to install and great to watch/play.  The graphics quality is very good and, with Steam, the number of games/programs available is ever increasing.  I'm very happy with my purchase.  However, I find that it's very expensive to upgrade it to become wireless.
","Reviewed in Canada on November 16, 2020",5, Vive Pro Full System,"
Great purchase
"
2022-05-23 10:39:27.058863,"
Image quality so much better than original Vive. Headset is much more comfortable and cable more compact and less distracting. Screen door effect much less noticeable though not entirely eliminated. God rays effect is lessened too though still present especially for games with deep blacks such as Elite Dangerous. There remains an issue with the sweet spot of focus for me, still too narrow (compared to say the Quest) causing blur at the edges. Perhaps related to FOV, though I have an above average head size and pupil distance which might be the cause of this in my case.Still, overall a terrific improvement, which with a slightly lower price and the addition of wireless would easily be the best VR I've experienced yet.Loss of one star though for the price which even as an upgrade is a little on the high side, and far worse for the whole package.
","Reviewed in Canada on July 4, 2019",4, Vive Pro Headset Only,"
Very nice upgrade, a bit pricey for everyone else
"
